"행정구역","2013년03월_전월인구수_남자인구수","2013년03월_전월인구수_여자인구수","2013년03월_전월인구수_계","2013년03월_당월인구수_남자인구수","2013년03월_당월인구수_여자인구수","2013년03월_당월인구수_계","2013년03월_인구증감_남자인구수","2013년03월_인구증감_여자인구수","2013년03월_인구증감_계"
"경기도 파주시 (4148000000)","","","396,208","202,210","194,783","396,993","","","785"
"경기도 이천시 (4150000000)","","","204,851","103,929","100,807","204,736","","","-115"
"경기도 안성시 (4155000000)","","","181,712","92,739","89,045","181,784","","","72"
"경기도 김포시 (4157000000)","","","291,964","148,626","145,751","294,377","","","2,413"
"경기도 화성시 (4159000000)","","","526,040","271,927","254,578","526,505","","","465"
"경기도 광주시 (4161000000)","","","276,645","142,664","134,773","277,437","","","792"
"경기도 양주시 (4163000000)","","","199,980","101,725","97,949","199,674","","","-306"
"경기도 포천시 (4165000000)","","","157,043","82,180","74,766","156,946","","","-97"
"경기도 여주군 (4173000000)","","","109,447","55,230","54,173","109,403","","","-44"
"경기도 연천군 (4180000000)","","","45,571","23,595","21,939","45,534","","","-37"
"경기도 가평군 (4182000000)","","","60,715","31,166","29,481","60,647","","","-68"
"경기도 양평군 (4183000000)","","","102,409","51,667","50,799","102,466","","","57"
"강원도  (4200000000)","","","1,536,718","774,195","764,024","1,538,219","","","1,501"
"강원도 춘천시 (4211000000)","","","273,798","135,109","138,764","273,873","","","75"
"강원도 원주시 (4213000000)","","","324,046","161,125","162,773","323,898","","","-148"
"강원도 강릉시 (4215000000)","","","217,203","108,067","109,149","217,216","","","13"
"강원도 동해시 (4217000000)","","","93,973","47,493","46,586","94,079","","","106"
"강원도 태백시 (4219000000)","","","49,224","25,040","24,240","49,280","","","56"
"강원도 속초시 (4221000000)","","","83,578","41,043","42,275","83,318","","","-260"
"강원도 삼척시 (4223000000)","","","71,708","37,153","35,702","72,855","","","1,147"
"강원도 홍천군 (4272000000)","","","69,764","35,620","34,235","69,855","","","91"
"강원도 횡성군 (4273000000)","","","44,565","22,745","21,969","44,714","","","149"
"강원도 영월군 (4275000000)","","","40,102","20,524","19,709","40,233","","","131"
"강원도 평창군 (4276000000)","","","43,586","22,224","21,270","43,494","","","-92"
"강원도 정선군 (4277000000)","","","39,836","20,650","19,187","39,837","","","1"
"강원도 철원군 (4278000000)","","","47,838","24,681","23,101","47,782","","","-56"
"강원도 화천군 (4279000000)","","","24,964","13,529","11,455","24,984","","","20"
"강원도 양구군 (4280000000)","","","22,777","12,280","10,775","23,055","","","278"
"강원도 인제군 (4281000000)","","","32,277","17,259","15,045","32,304","","","27"
"강원도 고성군 (4282000000)","","","29,779","15,584","14,200","29,784","","","5"
"강원도 양양군 (4283000000)","","","27,700","14,069","13,589","27,658","","","-42"
"충청북도  (4300000000)","","","1,565,697","789,515","776,457","1,565,972","","","275"
"충청북도 청주시 (4311000000)","","","667,561","332,927","335,237","668,164","","","603"
"충청북도 충주시 (4313000000)","","","208,377","104,831","103,358","208,189","","","-188"
"충청북도 제천시 (4315000000)","","","137,254","68,845","68,259","137,104","","","-150"
"충청북도 청원군 (4371000000)","","","154,896","79,765","74,950","154,715","","","-181"
"충청북도 보은군 (4372000000)","","","34,358","17,074","17,212","34,286","","","-72"
"충청북도 옥천군 (4373000000)","","","53,058","26,619","26,291","52,910","","","-148"
"충청북도 영동군 (4374000000)","","","50,478","25,236","25,388","50,624","","","146"
"충청북도 증평군 (4374500000)","","","34,280","17,475","16,824","34,299","","","19"
"충청북도 진천군 (4375000000)","","","63,535","33,006","30,669","63,675","","","140"
"충청북도 괴산군 (4376000000)","","","37,824","19,177","18,561","37,738","","","-86"
"충청북도 음성군 (4377000000)","","","92,942","48,893","44,275","93,168","","","226"
"충청북도 단양군 (4380000000)","","","31,134","15,667","15,433","31,100","","","-34"
"충청남도  (4400000000)","","","2,031,839","1,029,334","1,003,685","2,033,019","","","1,180"
"충청남도 천안시 (4413000000)","","","583,717","296,394","287,846","584,240","","","523"
"충청남도 공주시 (4415000000)","","","116,923","58,887","57,951","116,838","","","-85"
"충청남도 보령시 (4418000000)","","","105,384","53,215","52,140","105,355","","","-29"
"충청남도 아산시 (4420000000)","","","282,359","144,472","138,649","283,121","","","762"
"충청남도 서산시 (4421000000)","","","163,650","83,752","80,048","163,800","","","150"
"충청남도 논산시 (4423000000)","","","126,304","63,021","63,065","126,086","","","-218"
"충청남도 계룡시 (4425000000)","","","41,062","20,274","20,723","40,997","","","-65"
"충청남도 당진시 (4427000000)","","","155,792","80,990","75,036","156,026","","","234"
"충청남도 금산군 (4471000000)","","","55,531","28,100","27,333","55,433","","","-98"
"충청남도 부여군 (4476000000)","","","73,037","36,408","36,551","72,959","","","-78"
"충청남도 서천군 (4477000000)","","","58,722","28,936","29,804","58,740","","","18"
"충청남도 청양군 (4479000000)","","","32,040","16,103","16,002","32,105","","","65"
"충청남도 홍성군 (4480000000)","","","89,118","44,447","44,727","89,174","","","56"
"충청남도 예산군 (4481000000)","","","85,701","42,897","42,729","85,626","","","-75"
"충청남도 태안군 (4482500000)","","","62,499","31,438","31,081","62,519","","","20"
"전라북도  (4500000000)","","","1,872,311","932,551","939,267","1,871,818","","","-493"
"전라북도 전주시 (4511000000)","","","649,571","320,842","328,740","649,582","","","11"
"전라북도 군산시 (4513000000)","","","278,387","141,583","136,932","278,515","","","128"
"전라북도 익산시 (4514000000)","","","306,891","153,283","153,460","306,743","","","-148"
"전라북도 정읍시 (4518000000)","","","119,080","58,882","60,049","118,931","","","-149"
"전라북도 남원시 (4519000000)","","","86,859","42,625","44,141","86,766","","","-93"
"전라북도 김제시 (4521000000)","","","91,990","45,628","46,296","91,924","","","-66"
"전라북도 완주군 (4571000000)","","","86,055","44,205","41,987","86,192","","","137"
"전라북도 진안군 (4572000000)","","","26,838","13,461","13,345","26,806","","","-32"
"전라북도 무주군 (4573000000)","","","25,262","12,507","12,763","25,270","","","8"
"전라북도 장수군 (4574000000)","","","23,154","11,467","11,668","23,135","","","-19"
"전라북도 임실군 (4575000000)","","","29,833","15,065","14,710","29,775","","","-58"
"전라북도 순창군 (4577000000)","","","29,670","14,317","15,247","29,564","","","-106"
"전라북도 고창군 (4579000000)","","","60,160","29,778","30,398","60,176","","","16"
"전라북도 부안군 (4580000000)","","","58,561","28,908","29,531","58,439","","","-122"
"전라남도  (4600000000)","","","1,907,027","953,029","953,858","1,906,887","","","-140"
"전라남도 목포시 (4611000000)","","","244,218","121,894","122,050","243,944","","","-274"
"전라남도 여수시 (4613000000)","","","292,021","147,764","144,145","291,909","","","-112"
"전라남도 순천시 (4615000000)","","","274,107","137,087","137,281","274,368","","","261"
"전라남도 나주시 (4617000000)","","","88,082","44,340","43,730","88,070","","","-12"
"전라남도 광양시 (4623000000)","","","150,898","77,772","73,164","150,936","","","38"
"전라남도 담양군 (4671000000)","","","47,405","23,947","23,449","47,396","","","-9"
"전라남도 곡성군 (4672000000)","","","30,789","15,219","16,106","31,325","","","536"
"전라남도 구례군 (4673000000)","","","26,996","13,156","13,871","27,027","","","31"
"전라남도 고흥군 (4677000000)","","","71,335","34,300","36,872","71,172","","","-163"
"전라남도 보성군 (4678000000)","","","46,879","22,623","24,205","46,828","","","-51"
"전라남도 화순군 (4679000000)","","","68,311","33,656","34,597","68,253","","","-58"
"전라남도 장흥군 (4680000000)","","","41,953","20,299","21,558","41,857","","","-96"
"전라남도 강진군 (4681000000)","","","40,013","19,123","20,943","40,066","","","53"
"전라남도 해남군 (4682000000)","","","78,086","38,078","39,895","77,973","","","-113"
"전라남도 영암군 (4683000000)","","","60,000","30,596","29,365","59,961","","","-39"
"전라남도 무안군 (4684000000)","","","76,020","37,991","37,888","75,879","","","-141"
"전라남도 함평군 (4686000000)","","","35,671","17,632","17,981","35,613","","","-58"
"전라남도 영광군 (4687000000)","","","57,198","28,529","28,819","57,348","","","150"
